               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10773,            0.026386,                   0,           0.0010728,             0.32184,           0.0024184,          0.00050941,            0.088678,            0.018768,                   0,            0.070682,           0.0032576,           0.0032576
                   1,            0.088378,             0.02029,                   0,           0.0027203,             0.81609,            0.017858,           0.0047544,            0.076952,            0.014152,                   0,            0.040617,           0.0065257,           0.0065257
                   2,            0.080754,            0.017917,                   0,           0.0029119,             0.87356,            0.079792,            0.014916,            0.087085,            0.010727,                   0,            0.010485,           0.0097277,           0.0097277
                   3,            0.076373,            0.017005,                   0,           0.0059774,             0.93103,             0.36455,             0.12027,            0.061705,              0.0133,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.063725,            0.018009,                   0,               0.164,             0.66667,             0.44567,              0.1483,            0.061306,            0.012473,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.056265,            0.017029,                   0,             0.49396,             0.65517,             0.62871,             0.24891,            0.045692,            0.011503,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.051427,            0.016652,                   0,             0.71872,             0.70115,             0.73517,             0.31532,            0.047853,           0.0099248,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.049053,            0.015384,                   0,             0.66358,             0.65517,             0.68037,             0.32496,             0.04255,           0.0093108,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.04868,            0.013673,                   0,             0.59182,             0.66667,             0.63226,             0.20515,            0.047027,           0.0085646,                   0,            0.009307,            0.009307,            0.009307
                   9,              0.0439,            0.013479,                   0,             0.74522,             0.74713,             0.79932,             0.40181,            0.040797,           0.0077858,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043689,             0.01219,                   0,             0.81003,             0.75862,             0.81044,              0.3686,            0.042726,           0.0073235,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.041353,            0.011523,                   0,             0.78984,              0.7776,             0.83079,             0.39678,            0.042893,           0.0067629,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.042459,            0.010775,                   0,             0.83579,             0.81609,             0.86528,             0.37205,            0.039084,           0.0067304,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.03785,             0.01069,                   0,             0.91015,             0.81508,             0.88582,             0.46564,            0.037688,           0.0064217,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.039315,            0.009993,                   0,             0.91823,             0.64542,             0.82599,             0.41585,            0.040591,           0.0066217,                   0,            0.008713,            0.008713,            0.008713
